이름,기차역,터미널
도봉구,"상봉역,청량리역,서울역,용산역,영등포역,수서역","동서울종합터미널,서울고속버스터미널,센트럴시티터미널,서울남부터미널"
노원구,"상봉역,청량리역,서울역,용산역,영등포역,수서역","동서울종합터미널,서울고속버스터미널,센트럴시티터미널,서울남부터미널"
강북구,"청량리역,상봉역,서울역,용산역,영등포역","동서울종합터미널,서울고속버스터미널,센트럴시티터미널,서울남부터미널"
성북구,"청량리역,서울역,상봉역,용산역,영등포역","동서울종합터미널,서울고속버스터미널,센트럴시티터미널,서울남부터미널"
동대문구,"청량리역,상봉역,서울역,용산역,영등포역","동서울종합터미널,서울고속버스터미널,센트럴시티터미널,서울남부터미널"
중랑구,"상봉역,청량리역,서울역,용산역,영등포역,수서역","동서울종합터미널,서울고속버스터미널,센트럴시티터미널,서울남부터미널"
은평구,"서울역,용산역,영등포역,청량리역,상봉역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
종로구,"서울역,용산역,영등포역,청량리역,상봉역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
서대문구,"서울역,용산역,영등포역,청량리역,상봉역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
중구,"서울역,용산역,영등포역,청량리역,상봉역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
성동구,"서울역,청량리역,용산역,영등포역,상봉역","서울고속버스터미널,센트럴시티터미널,동서울종합터미널,서울남부터미널"
광진구,"수서역,청량리역,상봉역,서울역,용산역,영등포역","동서울종합터미널,서울고속버스터미널,센트럴시티터미널,서울남부터미널"
용산구,"용산역,서울역,영등포역,청량리역,상봉역,수서역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
마포구,"용산역,영등포역,서울역,청량리역,상봉역,수서역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
강동구,"수서역,청량리역,상봉역,서울역,용산역,영등포역","동서울종합터미널,서울고속버스터미널,센트럴시티터미널,서울남부터미널"
송파구,"수서역,청량리역,상봉역,서울역,용산역,영등포역","동서울종합터미널,서울고속버스터미널,센트럴시티터미널,서울남부터미널"
강남구,"수서역,서울역,용산역,청량리역,상봉역,영등포역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
서초구,"용산역,서울역,영등포역,수서역,청량리역,상봉역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
동작구,"영등포역,용산역,서울역,청량리역,상봉역,수서역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
관악구,"영등포역,용산역,서울역,청량리역,상봉역,수서역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
영등포구,"영등포역,용산역,서울역,청량리역,상봉역,수서역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
금천구,"영등포역,용산역,서울역,청량리역,상봉역,수서역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
양천구,"영등포역,용산역,서울역,청량리역,상봉역,수서역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
구로구,"영등포역,용산역,서울역,청량리역,상봉역,수서역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
강서구,"영등포역,용산역,서울역,청량리역,상봉역,수서역","서울고속버스터미널,센트럴시티터미널,서울남부터미널,동서울종합터미널"
